continent,location,date,total_cases,new_cases,total_deaths,new_deaths,population,median_age,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,life_expectancy,human_development_index
Africa,Mauritius,2020-09-30,381.0,14.0,10.0,0.0,1271767.0,37.4,224.644,22.02,3.2,40.7,0.0,74.99,0.79
Africa,Malawi,2020-09-30,5772.0,2.0,179.0,0.0,19129955.0,18.1,227.34900000000002,3.94,4.4,24.7,8.704,64.26,0.47700000000000004
Asia,Malaysia,2020-09-30,11135.0,101.0,134.0,0.0,32365998.0,29.9,260.942,16.74,1.0,42.4,0.0,76.16,0.802
Africa,Namibia,2020-09-30,11140.0,19.0,121.0,2.0,2540916.0,22.0,243.81099999999998,3.94,9.7,34.2,44.6,63.71,0.647
Oceania,New Caledonia,2020-09-30,27.0,0.0,0.0,0.0,285491.0,33.4,0.0,23.36,0.0,0.0,0.0,77.55,0.0
Africa,Niger,2020-09-30,1196.0,0.0,69.0,0.0,24206636.0,15.1,238.33900000000003,2.42,0.1,15.4,8.978,62.42,0.354
Africa,Nigeria,2020-09-30,58647.0,187.0,1111.0,0.0,206139587.0,18.1,181.013,2.42,0.6,10.8,41.949,54.69,0.532
North America,Nicaragua,2020-09-30,5086.0,0.0,149.0,0.0,6624554.0,27.3,137.016,11.47,0.0,0.0,0.0,74.48,0.6579999999999999
Europe,Netherlands,2020-09-30,117420.0,3001.0,6384.0,13.0,17134873.0,43.2,109.361,5.29,24.4,27.3,0.0,82.28,0.9309999999999999
Europe,Norway,2020-09-30,13788.0,90.0,274.0,0.0,5421242.0,39.7,114.316,5.31,19.6,20.7,0.0,82.4,0.953
Asia,Nepal,2020-09-30,76258.0,1513.0,491.0,10.0,29136808.0,25.0,260.797,7.26,9.5,37.8,47.782,70.78,0.574
Oceania,New Zealand,2020-09-30,1480.0,1.0,25.0,0.0,4822233.0,37.9,128.797,8.08,14.8,17.2,0.0,82.29,0.917
Asia,Oman,2020-09-30,98585.0,528.0,935.0,11.0,5106622.0,30.7,266.342,12.61,0.5,15.6,97.4,77.86,0.821
Asia,Pakistan,2020-09-30,312263.0,747.0,6479.0,5.0,220892331.0,23.5,423.031,8.35,2.8,36.7,59.607,67.27,0.562
North America,Panama,2020-09-30,111853.0,576.0,2364.0,16.0,4314768.0,29.7,128.346,8.33,2.4,9.9,0.0,78.51,0.789
South America,Peru,2020-09-30,811768.0,3054.0,32396.0,72.0,32971846.0,29.1,85.755,5.95,4.8,0.0,0.0,76.74,0.75
Asia,Philippines,2020-09-30,309303.0,2015.0,5448.0,67.0,109581085.0,25.2,370.43699999999995,7.07,7.8,40.8,78.46300000000001,71.23,0.6990000000000001
Oceania,Papua New Guinea,2020-09-30,534.0,2.0,7.0,0.0,8947027.0,22.6,561.494,17.65,23.5,48.8,0.0,64.5,0.544
Europe,Poland,2020-09-30,89962.0,1326.0,2483.0,36.0,37846605.0,41.8,227.331,5.91,23.3,33.1,0.0,78.73,0.865
North America,Puerto Rico,2020-09-30,48467.0,1045.0,654.0,6.0,2860840.0,38.2,108.094,12.9,0.0,0.0,0.0,80.1,0.0
Europe,Portugal,2020-09-30,74717.0,688.0,1963.0,6.0,10196707.0,46.2,127.84200000000001,9.85,16.3,30.0,0.0,82.05,0.847
South America,Paraguay,2020-09-30,40101.0,669.0,841.0,23.0,7132530.0,26.5,199.128,8.27,5.0,21.6,79.602,74.25,0.7020000000000001
Asia,Palestine,2020-09-30,50115.0,420.0,360.0,7.0,5101416.0,20.4,265.91,10.59,0.0,0.0,0.0,74.05,0.6859999999999999
Oceania,French Polynesia,2020-09-30,1666.0,0.0,7.0,0.0,280904.0,32.7,0.0,22.63,0.0,0.0,0.0,77.66,0.0
Asia,Qatar,2020-09-30,125533.0,222.0,214.0,0.0,2881060.0,31.9,176.69,16.52,0.8,26.9,0.0,80.23,0.856
Europe,Romania,2020-09-30,125414.0,1470.0,4792.0,44.0,19237682.0,43.0,370.94599999999997,9.74,22.9,37.1,0.0,76.05,0.8109999999999999
Europe,Russia,2020-09-30,1167805.0,8232.0,20545.0,160.0,145934460.0,39.6,431.29699999999997,6.18,23.4,58.3,0.0,72.58,0.816
Africa,Rwanda,2020-09-30,4836.0,4.0,29.0,0.0,12952209.0,20.3,191.375,4.28,4.7,21.0,4.617,69.02,0.524
Asia,Saudi Arabia,2020-09-30,334187.0,539.0,4739.0,27.0,34813867.0,31.9,259.538,17.72,1.8,25.4,0.0,75.13,0.853
Africa,Sudan,2020-09-30,13606.0,0.0,836.0,0.0,43849269.0,19.7,431.38800000000003,15.67,0.0,0.0,23.436999999999998,65.31,0.502
Africa,Senegal,2020-09-30,14945.0,26.0,310.0,1.0,16743930.0,18.7,241.21900000000002,2.42,0.4,16.6,20.859,67.94,0.505
Asia,Singapore,2020-09-30,57742.0,27.0,27.0,0.0,5850343.0,42.4,92.243,10.99,5.2,28.3,0.0,83.62,0.932
Africa,Sierra Leone,2020-09-30,2222.0,7.0,72.0,0.0,7976985.0,19.1,325.721,2.42,8.8,41.3,19.275,54.7,0.419
North America,El Salvador,2020-09-30,28981.0,172.0,843.0,12.0,6486201.0,27.6,167.295,8.87,2.5,18.8,90.65,73.32,0.674
Europe,San Marino,2020-09-30,746.0,0.0,42.0,0.0,33938.0,0.0,0.0,5.64,0.0,0.0,0.0,84.97,0.0
Africa,Somalia,2020-09-30,3588.0,0.0,99.0,0.0,15893219.0,16.8,365.769,6.05,0.0,0.0,9.831,57.4,0.0
Europe,Serbia,2020-09-30,33479.0,65.0,749.0,1.0,6804596.0,41.2,439.415,10.08,37.7,40.2,97.719,76.0,0.787
Africa,South Sudan,2020-09-30,2700.0,8.0,49.0,0.0,11193729.0,19.2,280.775,10.43,0.0,0.0,0.0,57.85,0.38799999999999996
Africa,Sao Tome and Principe,2020-09-30,911.0,0.0,15.0,0.0,219161.0,18.7,270.113,2.42,0.0,0.0,41.34,70.39,0.589
South America,Suriname,2020-09-30,4863.0,27.0,104.0,2.0,586634.0,29.6,258.314,12.54,7.4,42.9,67.779,71.68,0.72
Europe,Slovakia,2020-09-30,9574.0,231.0,45.0,1.0,5459643.0,41.2,287.959,7.29,23.1,37.7,0.0,77.54,0.855
Europe,Slovenia,2020-09-30,5487.0,93.0,138.0,2.0,2078932.0,44.5,153.493,7.25,20.1,25.0,0.0,81.32,0.8959999999999999
Europe,Sweden,2020-09-29,92466.0,296.0,5890.0,0.0,10099270.0,41.0,133.982,4.79,18.8,18.9,0.0,82.8,0.9329999999999999
Africa,Swaziland,2020-09-30,5462.0,10.0,108.0,0.0,1160164.0,21.5,333.436,3.94,1.7,16.5,24.096999999999998,60.19,0.588
North America,Sint Maarten (Dutch part),2020-09-30,659.0,14.0,22.0,0.0,42882.0,0.0,0.0,0.0,0.0,0.0,0.0,78.95,0.0
Africa,Seychelles,2020-09-30,143.0,0.0,0.0,0.0,98340.0,36.2,242.648,10.55,7.1,35.7,0.0,73.4,0.797
Asia,Syria,2020-09-30,4148.0,46.0,197.0,3.0,17500657.0,21.7,376.264,0.0,0.0,0.0,70.598,72.7,0.536
North America,Turks and Caicos Islands,2020-09-30,686.0,4.0,6.0,1.0,38718.0,0.0,0.0,0.0,0.0,0.0,0.0,80.22,0.0
Africa,Chad,2020-09-30,1193.0,8.0,85.0,0.0,16425859.0,16.7,280.995,6.1,0.0,0.0,5.818,54.24,0.40399999999999997
Africa,Togo,2020-09-30,1759.0,10.0,48.0,1.0,8278737.0,19.4,280.033,6.15,0.9,14.2,10.475,61.04,0.503
Asia,Thailand,2020-09-30,3564.0,5.0,59.0,0.0,69799978.0,40.1,109.861,7.04,1.9,38.8,90.67,77.15,0.755
Asia,Tajikistan,2020-09-30,9726.0,41.0,75.0,0.0,9537642.0,23.3,427.69800000000004,7.11,0.0,0.0,72.704,71.1,0.65
Asia,Timor,2020-09-30,28.0,0.0,0.0,0.0,1318442.0,18.0,335.346,6.86,6.3,78.1,28.178,69.5,0.625
North America,Trinidad and Tobago,2020-09-30,4463.0,77.0,74.0,2.0,1399491.0,36.2,228.467,10.97,0.0,0.0,89.443,73.51,0.784
Africa,Tunisia,2020-09-30,17405.0,1291.0,246.0,32.0,11818618.0,32.7,318.991,8.52,1.1,65.8,78.687,76.7,0.735
Asia,Turkey,2020-09-30,317272.0,1427.0,8130.0,68.0,84339067.0,31.6,171.285,12.13,14.1,41.1,0.0,77.69,0.7909999999999999
Asia,Taiwan,2020-09-30,514.0,1.0,7.0,0.0,23816775.0,42.2,103.95700000000001,0.0,0.0,0.0,0.0,80.46,0.0
Africa,Tanzania,2020-09-30,509.0,0.0,21.0,0.0,59734213.0,17.7,217.28799999999998,5.75,3.3,26.7,47.953,65.46,0.5379999999999999
Africa,Uganda,2020-09-30,8017.0,240.0,75.0,0.0,45741000.0,16.4,213.333,2.5,3.4,16.7,21.221999999999998,63.37,0.516
Europe,Ukraine,2020-09-30,204932.0,3627.0,4065.0,69.0,43733759.0,41.4,539.849,7.11,13.5,47.4,0.0,72.06,0.7509999999999999
South America,Uruguay,2020-09-30,2033.0,23.0,48.0,1.0,3473727.0,35.6,160.708,6.93,14.0,19.9,0.0,77.91,0.804
North America,United States,2020-09-30,7191061.0,43017.0,205998.0,928.0,331002647.0,38.3,151.089,10.79,19.1,24.6,0.0,78.86,0.924
Asia,Uzbekistan,2020-09-30,56519.0,451.0,468.0,5.0,33469199.0,28.2,724.4169999999999,7.57,1.3,24.7,0.0,71.72,0.71
Europe,Vatican,2020-09-30,12.0,0.0,0.0,0.0,809.0,0.0,0.0,0.0,0.0,0.0,0.0,75.12,0.0
North America,Saint Vincent and the Grenadines,2020-09-30,64.0,0.0,0.0,0.0,110947.0,31.8,252.675,11.62,0.0,0.0,0.0,72.53,0.723
South America,Venezuela,2020-09-30,74363.0,835.0,621.0,7.0,28435943.0,29.0,204.85,6.47,0.0,0.0,0.0,72.06,0.7609999999999999
North America,British Virgin Islands,2020-09-30,71.0,0.0,1.0,0.0,30237.0,0.0,0.0,13.67,0.0,0.0,0.0,79.07,0.0
North America,United States Virgin Islands,2020-09-30,1318.0,0.0,20.0,0.0,104423.0,42.2,273.67,12.26,0.0,0.0,0.0,80.58,0.0
Asia,Vietnam,2020-09-30,1094.0,17.0,35.0,0.0,97338583.0,32.6,245.465,6.0,1.0,45.9,85.84700000000001,75.4,0.6940000000000001
Europe,Kosovo,2020-09-30,15574.0,54.0,625.0,0.0,1932774.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Asia,Yemen,2020-09-30,2035.0,0.0,588.0,0.0,29825968.0,20.3,495.00300000000004,5.35,7.6,29.2,49.542,66.12,0.452
Africa,South Africa,2020-09-30,672572.0,903.0,16667.0,81.0,59308690.0,27.3,200.38,5.52,8.1,33.2,43.993,64.13,0.6990000000000001
Africa,Zambia,2020-09-30,14715.0,55.0,332.0,0.0,18383956.0,17.7,234.49900000000002,3.94,3.1,24.7,13.937999999999999,63.89,0.588
Africa,Zimbabwe,2020-09-30,7837.0,21.0,228.0,0.0,14862927.0,19.6,307.846,1.82,1.6,30.7,36.791,61.49,0.535
