continent,location,date,total_cases,new_cases,total_deaths,new_deaths,population,median_age,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,life_expectancy,human_development_index
Africa,Western Sahara,2020-09-30,766.0,0.0,1.0,0.0,597330.0,28.4,0.0,0.0,0.0,0.0,0.0,70.26,0.0
Europe,Spain,2020-09-29,758172.0,9906.0,31614.0,203.0,46754783.0,45.5,99.40299999999999,7.17,27.4,31.4,0.0,83.56,0.8909999999999999
Europe,Estonia,2020-09-30,3315.0,48.0,64.0,0.0,1326539.0,42.7,255.56900000000002,4.02,24.5,39.3,0.0,78.74,0.871
Africa,Ethiopia,2020-09-30,74584.0,640.0,1191.0,14.0,114963583.0,19.8,182.63400000000001,7.47,0.4,8.5,7.96,66.6,0.46299999999999997
Europe,Finland,2020-09-30,9892.0,158.0,345.0,0.0,5540718.0,42.8,153.507,5.76,18.3,22.6,0.0,81.91,0.92
Oceania,Fiji,2020-09-30,32.0,0.0,2.0,0.0,896444.0,28.6,412.82,14.49,10.2,34.8,0.0,67.44,0.741
South America,Falkland Islands,2020-09-30,13.0,0.0,0.0,0.0,3483.0,0.0,0.0,0.0,0.0,0.0,0.0,81.44,0.0
Europe,France,2020-09-30,550690.0,8051.0,31893.0,85.0,65273512.0,42.0,86.06,4.77,30.1,35.6,0.0,82.66,0.9009999999999999
Europe,Faeroe Islands,2020-09-30,463.0,3.0,0.0,0.0,48865.0,0.0,0.0,0.0,0.0,0.0,0.0,80.67,0.0
Africa,Gabon,2020-09-30,8752.0,0.0,54.0,0.0,2225728.0,23.1,259.967,7.2,0.0,0.0,0.0,66.47,0.7020000000000001
Europe,United Kingdom,2020-09-30,446156.0,7143.0,42072.0,71.0,67886004.0,40.8,122.137,4.28,20.0,24.7,0.0,81.32,0.922
Asia,Georgia,2020-09-30,5866.0,0.0,33.0,0.0,3989175.0,38.7,496.218,7.11,5.3,55.5,0.0,73.77,0.78
Europe,Guernsey,2020-09-30,256.0,0.0,13.0,0.0,67052.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Africa,Ghana,2020-09-30,46482.0,0.0,301.0,0.0,31072945.0,21.1,298.245,4.97,0.3,7.7,41.047,64.07,0.5920000000000001
Europe,Gibraltar,2020-09-30,391.0,9.0,0.0,0.0,33691.0,0.0,0.0,0.0,0.0,0.0,0.0,79.93,0.0
Africa,Guinea,2020-09-30,10634.0,36.0,66.0,0.0,13132792.0,19.0,336.717,2.42,0.0,0.0,17.45,61.6,0.45899999999999996
Africa,Gambia,2020-09-30,3579.0,10.0,112.0,1.0,2416664.0,17.5,331.43,1.91,0.7,31.2,7.876,62.05,0.46
Africa,Guinea-Bissau,2020-09-30,2324.0,0.0,39.0,0.0,1967998.0,19.4,382.474,2.42,0.0,0.0,6.403,58.32,0.455
Africa,Equatorial Guinea,2020-09-30,5030.0,2.0,83.0,0.0,1402985.0,22.4,202.812,7.78,0.0,0.0,24.64,58.74,0.591
Europe,Greece,2020-09-30,18123.0,416.0,388.0,5.0,10423056.0,45.3,175.695,4.55,35.3,52.0,0.0,82.24,0.87
North America,Grenada,2020-09-30,24.0,0.0,0.0,0.0,112519.0,29.4,243.96400000000003,10.71,0.0,0.0,0.0,72.4,0.772
North America,Greenland,2020-09-30,14.0,0.0,0.0,0.0,56772.0,0.0,199.94099999999997,2.16,0.0,0.0,0.0,71.7,0.0
North America,Guatemala,2020-09-30,90968.0,705.0,3238.0,4.0,17915567.0,22.9,155.898,10.18,0.0,0.0,76.665,74.3,0.65
Oceania,Guam,2020-09-30,2443.0,53.0,47.0,1.0,168783.0,31.4,310.496,21.52,0.0,0.0,0.0,80.07,0.0
South America,Guyana,2020-09-30,2846.0,59.0,78.0,0.0,786559.0,26.3,373.159,11.62,0.0,0.0,77.15899999999999,69.91,0.654
Asia,Hong Kong,2020-09-15,0.0,0.0,0.0,0.0,7496988.0,44.8,0.0,8.33,0.0,0.0,0.0,84.86,0.9329999999999999
North America,Honduras,2020-09-30,76098.0,561.0,2323.0,22.0,9904608.0,24.9,240.208,7.21,2.0,0.0,84.169,75.27,0.617
Europe,Croatia,2020-09-30,16380.0,135.0,275.0,3.0,4105268.0,44.0,253.782,5.59,34.3,39.9,0.0,78.49,0.831
North America,Haiti,2020-09-30,8740.0,0.0,227.0,0.0,11402533.0,24.3,430.548,6.65,2.9,23.1,22.863000000000003,64.0,0.498
Europe,Hungary,2020-09-30,26461.0,894.0,765.0,8.0,9660350.0,43.4,278.296,7.55,26.8,34.8,0.0,76.88,0.838
Asia,Indonesia,2020-09-30,282724.0,4002.0,10601.0,128.0,273523621.0,29.3,342.86400000000003,6.32,2.8,76.1,64.204,71.72,0.6940000000000001
Europe,Isle of Man,2020-09-30,340.0,0.0,24.0,0.0,85032.0,0.0,0.0,0.0,0.0,0.0,0.0,81.4,0.0
Asia,India,2020-09-30,6225763.0,80472.0,97497.0,1179.0,1380004385.0,28.2,282.28,10.39,1.9,20.6,59.55,69.66,0.64
Europe,Ireland,2020-09-30,35740.0,362.0,1803.0,1.0,4937796.0,38.7,126.459,3.28,23.0,25.7,0.0,82.3,0.938
Asia,Iran,2020-09-30,453637.0,3677.0,25986.0,207.0,83992953.0,32.4,270.308,9.59,0.8,21.1,0.0,76.68,0.7979999999999999
