,continent,location,total_cases,total_deaths,total_tests,tests_per_case,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,handwashing_facilities,hospital_beds_per_thousand,human_development_index
36174,Asia,Qatar,125533.0,214.0,0.0,0.0,0.0,2881060.0,227.322,31.9,1.307,0.617,116935.6,0.0,0.0,1.2,0.856
26752,Europe,Luxembourg,8431.0,124.0,0.0,0.0,0.0,625976.0,231.447,39.7,14.312000000000001,9.842,94277.965,0.2,0.0,4.51,0.904
37829,Asia,Singapore,57742.0,27.0,0.0,0.0,0.0,5850343.0,7915.731,42.4,12.922,7.0489999999999995,85535.383,0.0,0.0,2.4,0.932
6740,Asia,Brunei,146.0,3.0,0.0,0.0,0.0,437483.0,81.347,32.4,4.591,2.3819999999999997,71809.25099999999,0.0,0.0,2.7,0.853
20633,Europe,Ireland,35740.0,1803.0,0.0,0.0,0.0,4937796.0,69.874,38.7,13.927999999999999,8.677999999999999,67335.293,0.2,0.0,2.96,0.938
1540,Asia,United Arab Emirates,93090.0,416.0,0.0,0.0,0.0,9890400.0,112.44200000000001,34.0,1.1440000000000001,0.526,67293.483,0.0,0.0,1.2,0.863
24509,Asia,Kuwait,104568.0,607.0,0.0,0.0,0.0,4270563.0,232.128,33.7,2.345,1.114,65530.537000000004,0.0,0.0,2.0,0.8029999999999999
32686,Europe,Norway,13788.0,274.0,0.0,0.0,0.0,5421242.0,14.462,39.7,16.820999999999998,10.812999999999999,64800.057,0.2,0.0,3.6,0.953
7876,Europe,Switzerland,52751.0,1781.0,0.0,0.0,0.0,8654618.0,214.243,43.1,18.436,12.644,57410.166,0.0,0.0,4.53,0.9440000000000001
38483,Europe,San Marino,746.0,42.0,0.0,0.0,0.0,33938.0,556.6669999999999,0.0,0.0,0.0,56861.47,0.0,0.0,3.8,0.0
18732,Asia,Hong Kong,0.0,0.0,1029305.0,0.0,62.96,7496988.0,7039.714,44.8,16.303,10.158,56054.92,0.0,0.0,0.0,0.9329999999999999
