,continent,location,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,positive_rate,population,median_age,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,life_expectancy,human_development_index
40544,North America,Sint Maarten (Dutch part),659.0,14.0,22.0,0.0,15367.753,326.47700000000003,513.036,0.0,0.0,42882.0,0.0,0.0,0.0,36327.232,0.0,0.0,0.0,0.0,78.95,0.0
40744,Africa,Seychelles,143.0,0.0,0.0,0.0,1454.139,0.0,0.0,0.0,0.0,98340.0,36.2,8.606,5.586,26382.287,242.648,10.55,7.1,35.7,73.4,0.797
40936,Asia,Syria,4148.0,46.0,197.0,3.0,237.02,2.628,11.257,0.171,0.0,17500657.0,21.7,0.0,2.577,0.0,376.264,0.0,0.0,0.0,72.7,0.536
41126,North America,Turks and Caicos Islands,686.0,4.0,6.0,1.0,17717.857,103.311,154.967,25.828000000000003,0.0,38718.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.22,0.0
41321,Africa,Chad,1193.0,8.0,85.0,0.0,72.62899999999999,0.48700000000000004,5.175,0.0,0.0,16425859.0,16.7,2.4859999999999998,1.446,1768.1529999999998,280.995,6.1,0.0,0.0,54.24,0.40399999999999997
41532,Africa,Togo,1759.0,10.0,48.0,1.0,212.472,1.208,5.797999999999999,0.121,0.0,8278737.0,19.4,2.839,1.525,1429.8129999999999,280.033,6.15,0.9,14.2,61.04,0.503
41807,Asia,Thailand,3564.0,5.0,59.0,0.0,51.06,0.07200000000000001,0.845,0.0,0.0,69799978.0,40.1,11.373,6.89,16277.671,109.861,7.04,1.9,38.8,77.15,0.755
41960,Asia,Tajikistan,9726.0,41.0,75.0,0.0,1019.7489999999999,4.2989999999999995,7.864,0.0,0.0,9537642.0,23.3,3.466,2.155,2896.913,427.69800000000004,7.11,0.0,0.0,71.1,0.65
42153,Asia,Timor,28.0,0.0,0.0,0.0,21.237,0.0,0.0,0.0,0.0,1318442.0,18.0,3.556,1.8969999999999998,6570.102,335.346,6.86,6.3,78.1,69.5,0.625
42355,North America,Trinidad and Tobago,4463.0,77.0,74.0,2.0,3189.0170000000003,55.02,52.876000000000005,1.429,0.0,1399491.0,36.2,10.014,5.819,28763.071,228.467,10.97,0.0,0.0,73.51,0.784
