,continent,location,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,positive_rate,population,median_age,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,life_expectancy,human_development_index
14415,Europe,Finland,9892.0,158.0,345.0,0.0,1785.328,28.516,62.266000000000005,0.0,0.0,5540718.0,42.8,21.228,13.264000000000001,40585.721,153.507,5.76,18.3,22.6,81.91,0.92
14660,Oceania,Fiji,32.0,0.0,2.0,0.0,35.696999999999996,0.0,2.231,0.0,0.0,896444.0,28.6,6.224,3.284,8702.975,412.82,14.49,10.2,34.8,67.44,0.741
14840,South America,Falkland Islands,13.0,0.0,0.0,0.0,3732.415,0.0,0.0,0.0,0.0,3483.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.44,0.0
15115,Europe,France,550690.0,8051.0,31893.0,85.0,8436.653,123.34299999999999,488.606,1.3019999999999998,0.0,65273512.0,42.0,19.718,13.079,38605.671,86.06,4.77,30.1,35.6,82.66,0.9009999999999999
15324,Europe,Faeroe Islands,463.0,3.0,0.0,0.0,9475.084,61.394,0.0,0.0,0.0,48865.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.67,0.0
15525,Africa,Gabon,8752.0,0.0,54.0,0.0,3932.197,0.0,24.261999999999997,0.0,0.0,2225728.0,23.1,4.45,2.9760000000000004,16562.413,259.967,7.2,0.0,0.0,66.47,0.7020000000000001
15800,Europe,United Kingdom,446156.0,7143.0,42072.0,71.0,6572.135,105.221,619.745,1.046,0.0,67886004.0,40.8,18.517,12.527000000000001,39753.244,122.137,4.28,20.0,24.7,81.32,0.922
16075,Asia,Georgia,5866.0,0.0,33.0,0.0,1470.479,0.0,8.272,0.0,0.0,3989175.0,38.7,14.864,10.244000000000002,9745.079,496.218,7.11,5.3,55.5,73.77,0.78
16270,Europe,Guernsey,256.0,0.0,13.0,0.0,3817.9320000000002,0.0,193.87900000000002,0.0,0.0,67052.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16471,Africa,Ghana,46482.0,0.0,301.0,0.0,1495.899,0.0,9.687000000000001,0.0,0.0,31072945.0,21.1,3.385,1.9480000000000002,4227.63,298.245,4.97,0.3,7.7,64.07,0.5920000000000001
16666,Europe,Gibraltar,391.0,9.0,0.0,0.0,11605.473,267.134,0.0,0.0,0.0,33691.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.93,0.0
16866,Africa,Guinea,10634.0,36.0,66.0,0.0,809.7289999999999,2.741,5.026,0.0,0.0,13132792.0,19.0,3.135,1.733,1998.9260000000002,336.717,2.42,0.0,0.0,61.6,0.45899999999999996
17063,Africa,Gambia,3579.0,10.0,112.0,1.0,1480.967,4.138,46.345,0.414,0.0,2416664.0,17.5,2.339,1.4169999999999998,1561.767,331.43,1.91,0.7,31.2,62.05,0.46
17251,Africa,Guinea-Bissau,2324.0,0.0,39.0,0.0,1180.896,0.0,19.817,0.0,0.0,1967998.0,19.4,3.002,1.565,1548.675,382.474,2.42,0.0,0.0,58.32,0.455
17451,Africa,Equatorial Guinea,5030.0,2.0,83.0,0.0,3585.2129999999997,1.426,59.16,0.0,0.0,1402985.0,22.4,2.846,1.7519999999999998,22604.873,202.812,7.78,0.0,0.0,58.74,0.591
17726,Europe,Greece,18123.0,416.0,388.0,5.0,1738.741,39.912,37.225,0.48,0.0,10423056.0,45.3,20.396,14.524000000000001,24574.382,175.695,4.55,35.3,52.0,82.24,0.87
17918,North America,Grenada,24.0,0.0,0.0,0.0,213.297,0.0,0.0,0.0,0.0,112519.0,29.4,7.303999999999999,5.021,13593.877,243.96400000000003,10.71,0.0,0.0,72.4,0.772
18113,North America,Greenland,14.0,0.0,0.0,0.0,246.6,0.0,0.0,0.0,0.0,56772.0,0.0,0.0,0.0,0.0,199.94099999999997,2.16,0.0,0.0,71.7,0.0
18313,North America,Guatemala,90968.0,705.0,3238.0,4.0,5077.595,39.351,180.737,0.223,0.0,17915567.0,22.9,4.694,3.016,7423.808000000001,155.898,10.18,0.0,0.0,74.3,0.65
18509,Oceania,Guam,2443.0,53.0,47.0,1.0,14474.207,314.013,278.464,5.925,0.0,168783.0,31.4,9.551,5.492999999999999,0.0,310.496,21.52,0.0,0.0,80.07,0.0
18709,South America,Guyana,2846.0,59.0,78.0,0.0,3618.292,75.01,99.166,0.0,0.0,786559.0,26.3,5.305,2.8369999999999997,7435.047,373.159,11.62,0.0,0.0,69.91,0.654
18732,Asia,Hong Kong,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7496988.0,44.8,16.303,10.158,56054.92,0.0,8.33,0.0,0.0,84.86,0.9329999999999999
18933,North America,Honduras,76098.0,561.0,2323.0,22.0,7683.090999999999,56.64,234.537,2.221,0.0,9904608.0,24.9,4.652,2.883,4541.795,240.208,7.21,2.0,0.0,75.27,0.617
19208,Europe,Croatia,16380.0,135.0,275.0,3.0,3989.995,32.885,66.987,0.731,0.037000000000000005,4105268.0,44.0,19.724,13.052999999999999,22669.797000000002,253.782,5.59,34.3,39.9,78.49,0.831
19403,North America,Haiti,8740.0,0.0,227.0,0.0,766.4960000000001,0.0,19.908,0.0,0.0,11402533.0,24.3,4.8,2.9539999999999997,1653.1729999999998,430.548,6.65,2.9,23.1,64.0,0.498
19614,Europe,Hungary,26461.0,894.0,765.0,8.0,2739.135,92.54299999999999,79.19,0.828,0.086,9660350.0,43.4,18.577,11.975999999999999,26777.561,278.296,7.55,26.8,34.8,76.88,0.838
19889,Asia,Indonesia,282724.0,4002.0,10601.0,128.0,1033.637,14.630999999999998,38.757,0.46799999999999997,0.0,273523621.0,29.3,5.319,3.053,11188.743999999999,342.86400000000003,6.32,2.8,76.1,71.72,0.6940000000000001
20083,Europe,Isle of Man,340.0,0.0,24.0,0.0,3998.495,0.0,282.247,0.0,0.0,85032.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.4,0.0
20358,Asia,India,6225763.0,80472.0,97497.0,1179.0,4511.407999999999,58.313,70.65,0.8540000000000001,0.0,1380004385.0,28.2,5.989,3.4139999999999997,6426.674,282.28,10.39,1.9,20.6,69.66,0.64
20633,Europe,Ireland,35740.0,362.0,1803.0,1.0,7238.047,73.312,365.14300000000003,0.203,0.0,4937796.0,38.7,13.927999999999999,8.677999999999999,67335.293,126.459,3.28,23.0,25.7,82.3,0.938
20908,Asia,Iran,453637.0,3677.0,25986.0,207.0,5400.894,43.777,309.383,2.464,0.0,83992953.0,32.4,5.44,3.182,19082.62,270.308,9.59,0.8,21.1,76.68,0.7979999999999999
21183,Asia,Iraq,358290.0,4724.0,9122.0,70.0,8907.7,117.447,226.78799999999998,1.74,0.0,40222503.0,20.0,3.1860000000000004,1.9569999999999999,15663.986,218.612,8.83,0.0,0.0,70.6,0.685
21458,Europe,Iceland,2695.0,32.0,10.0,0.0,7897.436,93.773,29.304000000000002,0.0,0.0,341250.0,37.3,14.431,9.207,46482.958,117.992,5.31,14.3,15.2,82.99,0.935
21733,Asia,Israel,236926.0,3661.0,1528.0,21.0,27372.755,422.966,176.53400000000002,2.426,0.0,8655541.0,30.6,11.732999999999999,7.359,33132.32,93.32,6.74,15.4,35.4,82.97,0.903
22008,Europe,Italy,313011.0,1647.0,35875.0,24.0,5177.002,27.24,593.35,0.397,0.0,60461828.0,47.9,23.021,16.24,35220.084,113.15100000000001,4.78,19.8,27.8,83.51,0.88
22210,North America,Jamaica,6382.0,239.0,100.0,7.0,2155.236,80.712,33.771,2.364,0.0,2961161.0,31.4,9.684,6.39,8193.571,206.537,11.28,5.3,28.6,74.47,0.732
22405,Europe,Jersey,409.0,1.0,32.0,0.0,4046.58,9.894,316.603,0.0,0.0,101073.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22613,Asia,Jordan,10049.0,823.0,57.0,6.0,984.893,80.661,5.587000000000001,0.588,0.0,10203140.0,23.2,3.81,2.3609999999999998,8337.49,208.257,11.75,0.0,0.0,74.53,0.735
22888,Asia,Japan,83010.0,516.0,1564.0,7.0,656.328,4.08,12.366,0.055,0.0,126476458.0,48.2,27.049,18.493,39002.223,79.37,5.72,11.2,33.7,84.63,0.909
23090,Asia,Kazakhstan,140707.0,374.0,2078.0,28.0,7493.7,19.918,110.669,1.4909999999999999,0.0,18776707.0,30.6,6.9910000000000005,4.625,24055.588,466.792,7.11,7.0,43.1,73.6,0.8
23299,Africa,Kenya,38378.0,210.0,707.0,7.0,713.7260000000001,3.905,13.148,0.13,0.0,53771300.0,20.0,2.6860000000000004,1.528,2993.028,218.637,2.92,1.2,20.4,66.7,0.59
23495,Asia,Kyrgyzstan,46669.0,147.0,1064.0,0.0,7153.224,22.531999999999996,163.085,0.0,0.0,6524191.0,26.3,4.489,2.8819999999999997,3393.474,436.36199999999997,7.11,3.6,50.5,71.45,0.672
23770,Asia,Cambodia,277.0,0.0,0.0,0.0,16.567999999999998,0.0,0.0,0.0,0.0,16718971.0,25.6,4.412,2.385,3645.07,270.892,4.0,2.0,33.7,69.82,0.5820000000000001
23959,North America,Saint Kitts and Nevis,19.0,0.0,0.0,0.0,357.19699999999995,0.0,0.0,0.0,0.0,53192.0,0.0,0.0,0.0,24654.385,0.0,12.84,0.0,0.0,76.23,0.778
24234,Asia,South Korea,23812.0,113.0,413.0,6.0,464.45099999999996,2.204,8.056000000000001,0.11699999999999999,0.009000000000000001,51269183.0,43.4,13.914000000000001,8.622,35938.373999999996,85.99799999999999,6.8,6.2,40.9,83.03,0.903
24509,Asia,Kuwait,104568.0,587.0,607.0,2.0,24485.765,137.453,142.136,0.46799999999999997,0.0,4270563.0,33.7,2.345,1.114,65530.537000000004,132.235,15.84,2.7,37.0,75.49,0.8029999999999999
24699,Asia,Laos,23.0,0.0,0.0,0.0,3.161,0.0,0.0,0.0,0.0,7275556.0,24.4,4.029,2.322,6397.36,368.111,4.0,7.3,51.2,67.92,0.601
24974,Asia,Lebanon,38377.0,1105.0,361.0,10.0,5622.64,161.894,52.89,1.465,0.0,6825442.0,31.1,8.514,5.43,13367.565,266.591,12.71,26.9,40.7,78.93,0.757
25172,Africa,Liberia,1343.0,1.0,82.0,0.0,265.53700000000003,0.198,16.213,0.0,0.0,5057677.0,19.2,3.057,1.756,752.788,272.509,2.42,1.5,18.1,64.1,0.435
25383,Africa,Libya,34014.0,801.0,540.0,13.0,4950.164000000001,116.572,78.58800000000001,1.892,0.0,6871287.0,29.0,4.4239999999999995,2.8160000000000003,17881.509,341.86199999999997,10.43,0.0,0.0,72.91,0.706
25583,North America,Saint Lucia,27.0,0.0,0.0,0.0,147.036,0.0,0.0,0.0,0.0,183629.0,34.9,9.721,6.405,12951.839,204.62,11.62,0.0,0.0,76.2,0.747
25788,Europe,Liechtenstein,120.0,2.0,1.0,0.0,3146.551,52.443000000000005,26.221,0.0,0.0,38137.0,0.0,0.0,0.0,0.0,0.0,7.77,0.0,0.0,82.49,0.9159999999999999
26063,Asia,Sri Lanka,3374.0,11.0,13.0,0.0,157.566,0.514,0.607,0.0,0.0,21413250.0,34.1,10.068999999999999,5.331,11669.077,197.093,10.68,0.3,27.0,76.98,0.77
26202,Africa,Lesotho,1576.0,11.0,35.0,0.0,735.674,5.135,16.338,0.0,0.0,2142252.0,22.2,4.506,2.647,2851.153,405.126,3.94,0.4,53.9,54.33,0.52
26477,Europe,Lithuania,4578.0,88.0,92.0,0.0,1681.672,32.326,33.795,0.0,0.019,2722291.0,43.5,19.002,13.777999999999999,29524.265,342.98900000000003,3.67,21.3,38.0,75.93,0.858
26752,Europe,Luxembourg,8431.0,55.0,124.0,0.0,13468.567,87.863,198.09099999999998,0.0,0.0,625976.0,39.7,14.312000000000001,9.842,94277.965,128.275,4.42,20.9,26.0,82.25,0.904
26967,Europe,Latvia,1729.0,32.0,37.0,1.0,916.6569999999999,16.965,19.616,0.53,0.0,1886202.0,43.9,19.754,14.136,25063.846,350.06,4.91,25.6,51.0,75.29,0.847
27204,Africa,Morocco,121183.0,2076.0,2152.0,39.0,3283.153,56.244,58.303000000000004,1.057,0.0,36910558.0,29.6,6.769,4.209,7485.013000000001,419.14599999999996,7.14,0.8,47.1,76.68,0.667
27479,Europe,Monaco,214.0,2.0,1.0,0.0,5453.063,50.963,25.482,0.0,0.0,39244.0,0.0,0.0,0.0,0.0,0.0,5.46,0.0,0.0,86.75,0.0
27684,Europe,Moldova,52029.0,835.0,1310.0,9.0,12897.739,206.99200000000002,324.743,2.231,0.0,4033963.0,37.6,10.864,6.955,5189.972,408.50199999999995,5.72,5.9,44.6,71.9,0.7
27878,Africa,Madagascar,16377.0,29.0,229.0,0.0,591.419,1.047,8.27,0.0,0.0,27691019.0,19.6,2.929,1.686,1416.44,405.994,3.94,0.0,0.0,67.04,0.519
28083,Asia,Maldives,10194.0,37.0,34.0,0.0,18858.849,68.45,62.9,0.0,0.0,540542.0,30.6,4.12,2.875,15183.616000000002,164.905,9.19,2.1,55.0,78.92,0.7170000000000001
28358,North America,Mexico,738163.0,4446.0,77163.0,560.0,5725.178000000001,34.483000000000004,598.475,4.343,0.0,128932753.0,29.3,6.857,4.321000000000001,17336.468999999997,152.783,13.06,6.9,21.4,75.05,0.774
28633,Europe,Macedonia,17786.0,112.0,737.0,8.0,8537.089,53.75899999999999,353.75199999999995,3.84,0.0,2083380.0,39.1,13.26,8.16,13111.214,322.688,10.08,0.0,0.0,75.8,0.757
28822,Africa,Mali,3090.0,0.0,130.0,0.0,152.586,0.0,6.419,0.0,0.0,20250834.0,16.4,2.519,1.486,2014.306,268.024,2.42,1.6,23.0,59.31,0.42700000000000005
29060,Europe,Malta,3035.0,29.0,34.0,2.0,6873.685,65.679,77.003,4.53,0.0,441539.0,42.4,19.426,11.324000000000002,36513.323,168.71099999999998,8.83,20.9,30.2,82.53,0.878
29253,Asia,Myanmar,12425.0,794.0,284.0,28.0,228.36,14.593,5.22,0.515,0.0,54409794.0,29.1,5.732,3.12,5591.597,202.104,4.61,6.3,35.2,67.13,0.578
29450,Europe,Montenegro,10575.0,134.0,164.0,1.0,16837.51,213.355,261.121,1.5919999999999999,0.0,628062.0,39.1,14.762,9.395,16409.288,387.305,10.08,44.0,47.9,76.88,0.8140000000000001
29651,Asia,Mongolia,313.0,0.0,0.0,0.0,95.477,0.0,0.0,0.0,0.0,3278292.0,28.6,4.031000000000001,2.421,11840.846000000001,460.043,4.82,5.5,46.5,69.87,0.741
29835,Oceania,Northern Mariana Islands,70.0,0.0,2.0,0.0,1216.1860000000001,0.0,34.748000000000005,0.0,0.0,57557.0,0.0,0.0,0.0,0.0,194.99400000000003,0.0,0.0,0.0,76.74,0.0
30027,Africa,Mozambique,8556.0,268.0,59.0,0.0,273.744,8.575,1.8880000000000001,0.0,0.0,31255435.0,17.7,3.158,1.87,1136.103,329.94199999999995,3.3,5.1,29.1,60.85,0.43700000000000006
30227,Africa,Mauritania,7474.0,10.0,161.0,0.0,1607.4289999999999,2.151,34.626,0.0,0.0,4649660.0,20.3,3.138,1.7919999999999998,3597.633,232.347,2.42,0.0,0.0,64.92,0.52
30421,North America,Montserrat,13.0,0.0,1.0,0.0,2600.52,0.0,200.04,0.0,0.0,4999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.16,0.0
30616,Africa,Mauritius,381.0,14.0,10.0,0.0,299.58299999999997,11.008,7.8629999999999995,0.0,0.0,1271767.0,37.4,10.945,5.8839999999999995,20292.745,224.644,22.02,3.2,40.7,74.99,0.79
30802,Africa,Malawi,5772.0,2.0,179.0,0.0,301.726,0.105,9.357000000000001,0.0,0.0,19129955.0,18.1,2.9789999999999996,1.7830000000000001,1095.042,227.34900000000002,3.94,4.4,24.7,64.26,0.47700000000000004
31077,Asia,Malaysia,11135.0,101.0,134.0,0.0,344.034,3.1210000000000004,4.14,0.0,0.0,32365998.0,29.9,6.292999999999999,3.407,26808.164,260.942,16.74,1.0,42.4,76.16,0.802
31277,Africa,Namibia,11140.0,19.0,121.0,2.0,4384.246,7.478,47.621,0.787,0.0,2540916.0,22.0,3.552,2.085,9541.808,243.81099999999998,3.94,9.7,34.2,63.71,0.647
31471,Oceania,New Caledonia,27.0,0.0,0.0,0.0,94.574,0.0,0.0,0.0,0.0,285491.0,33.4,9.954,6.489,0.0,0.0,23.36,0.0,0.0,77.55,0.0
31665,Africa,Niger,1196.0,0.0,69.0,0.0,49.408,0.0,2.85,0.0,0.0,24206636.0,15.1,2.553,1.3780000000000001,926.0,238.33900000000003,2.42,0.1,15.4,62.42,0.354
31940,Africa,Nigeria,58647.0,187.0,1111.0,0.0,284.501,0.907,5.39,0.0,0.0,206139587.0,18.1,2.7510000000000003,1.4469999999999998,5338.454000000001,181.013,2.42,0.6,10.8,54.69,0.532
32136,North America,Nicaragua,5086.0,0.0,149.0,0.0,767.75,0.0,22.491999999999997,0.0,0.0,6624554.0,27.3,5.445,3.5189999999999997,5321.444,137.016,11.47,0.0,0.0,74.48,0.6579999999999999
32411,Europe,Netherlands,117420.0,3001.0,6384.0,13.0,6852.691999999999,175.14,372.574,0.759,0.0,17134873.0,43.2,18.779,11.880999999999998,48472.545,109.361,5.29,24.4,27.3,82.28,0.9309999999999999
32686,Europe,Norway,13788.0,90.0,274.0,0.0,2543.3289999999997,16.601,50.542,0.0,0.0,5421242.0,39.7,16.820999999999998,10.812999999999999,64800.057,114.316,5.31,19.6,20.7,82.4,0.953
32961,Asia,Nepal,76258.0,1513.0,491.0,10.0,2617.239,51.927,16.852,0.34299999999999997,0.0,29136808.0,25.0,5.809,3.2119999999999997,2442.804,260.797,7.26,9.5,37.8,70.78,0.574
33236,Oceania,New Zealand,1480.0,1.0,25.0,0.0,306.91200000000003,0.207,5.184,0.0,0.0,4822233.0,37.9,15.322000000000001,9.72,36085.843,128.797,8.08,14.8,17.2,82.29,0.917
33511,Asia,Oman,98585.0,528.0,935.0,11.0,19305.326,103.395,183.09599999999998,2.154,0.0,5106622.0,30.7,2.355,1.53,37960.709,266.342,12.61,0.5,15.6,77.86,0.821
33786,Asia,Pakistan,312263.0,747.0,6479.0,5.0,1413.6429999999998,3.3819999999999997,29.331,0.023,0.019,220892331.0,23.5,4.495,2.78,5034.708,423.031,8.35,2.8,36.7,67.27,0.562
33992,North America,Panama,111853.0,576.0,2364.0,16.0,25923.293999999998,133.495,547.886,3.708,0.0,4314768.0,29.7,7.917999999999999,5.03,22267.037,128.346,8.33,2.4,9.9,78.51,0.789
34208,South America,Peru,811768.0,3054.0,32396.0,72.0,24620.035,92.624,982.535,2.184,0.0,32971846.0,29.1,7.151,4.455,12236.706,85.755,5.95,4.8,0.0,76.74,0.75
